Setup title,"mosfet 14 meas"
-0.845,0.02251
-0.83,0.02245
-0.815,0.022394
-0.8,0.022336
-0.785,0.022274
-0.77,0.022214
-0.755,0.022158
-0.74,0.022102
-0.725,0.022042
-0.71,0.021984
-0.695,0.021924
-0.68,0.02187
-0.665,0.021812
-0.65,0.02175
-0.635,0.021694
-0.62,0.021638
-0.605,0.021582
-0.59,0.021528
-0.575,0.021468
-0.56,0.021416
-0.545,0.02136
-0.53,0.021304
-0.515,0.021246
-0.5,0.021194
-0.485,0.021138
-0.47,0.021082
-0.455,0.02103
-0.44,0.020976
-0.425,0.020922
-0.41,0.02087
-0.395,0.020814
-0.38,0.020762
-0.365,0.02071
-0.35,0.02066
-0.335,0.020606
-0.32,0.020554
-0.305,0.020504
-0.29,0.020452
-0.275,0.020402
-0.26,0.02035
-0.245,0.0203
-0.23,0.020252
-0.215,0.020196
-0.2,0.02015
-0.185,0.020098
-0.17,0.020054
-0.155,0.020002
-0.14,0.019956
-0.125,0.019908
-0.11,0.01986
-0.095,0.01981
-0.08,0.019764
-0.065,0.019716
-0.05,0.01967
-0.035,0.019626
-0.02,0.019578
-0.005,0.019534
0.01,0.019488
0.025,0.01944
0.04,0.019392
0.055,0.019352
0.07,0.019306
0.085,0.01926
0.1,0.01922
0.115,0.01917
0.13,0.019126
0.145,0.019084
0.16,0.01904
0.175,0.018994
0.19,0.018954
0.205,0.018914
0.22,0.01887
0.235,0.018828
0.25,0.018788
0.265,0.018748
0.28,0.018702
0.295,0.018662
0.31,0.018622
0.325,0.018578
0.34,0.01854
0.355,0.018498
0.37,0.01846
0.385,0.018422
0.4,0.018378
0.415,0.018342
0.43,0.018304
0.445,0.018264
0.46,0.018226
0.475,0.018182
0.49,0.018148
0.505,0.01811
0.52,0.018072
0.535,0.018034
0.55,0.017996
0.565,0.017962
0.58,0.017924
0.595,0.017886
0.61,0.017848
0.625,0.017816
0.64,0.017778
0.655,0.01774
0.67,0.017708
0.685,0.017672
0.7,0.017636
0.715,0.0176
0.73,0.017566
0.745,0.017532
0.76,0.017496
0.775,0.017464
0.79,0.017428
0.805,0.017394
0.82,0.017362
0.835,0.017326
0.85,0.017294
0.865,0.017258
0.88,0.017228
0.895,0.017194
0.91,0.01716
0.925,0.017128
0.94,0.017096
0.955,0.017064
0.97,0.017032
0.985,0.016996
1,0.016968
1.015,0.016934
1.03,0.016904
1.045,0.01687
1.06,0.01684
1.075,0.016812
1.09,0.016782
1.105,0.016748
1.12,0.01672
1.135,0.01669
1.15,0.01666
1.165,0.01663
1.18,0.016598
1.195,0.016568
1.21,0.016538
1.225,0.01651
1.24,0.016486
1.255,0.016454
1.27,0.016426
1.285,0.016398
1.3,0.016366
1.315,0.016342
1.33,0.01631
